check_id,passed,evidence_type,source_path,schema_area,paper_use,failure_action
manifest_writer_emits_named_file,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,file_identity,Use to identify the per-run manifest file in the reproducibility appendix.,Restore WriteRunManifest output to citylbm_run_manifest.json.
grasshopper_exposes_manifest_and_claim_gate,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,ui_traceability,Use to show Grasshopper exposes both the manifest path and no-overclaim text.,Restore Manifest Path and Claim Gate outputs on Run Simulation.
top_level_manifest_sections_present,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,top_level_sections,Use to describe the manifest as a complete protocol and evidence-boundary record.,Restore all required top-level manifest sections.
official_casee_contract_fields_present,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,formal_casee_contract,Use to state that generated manifests preserve the official ac+N z=2 m protocol contract.,Restore official Case E formal accuracy gate fields.
diagnostic_substitutes_are_blocked,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,diagnostic_boundary,"Use to keep diagnostic sampling, offsets, wall models, and roughness out of formal result claims.",Restore diagnostic substitute blocking fields.
wall_roughness_default_safe_fields_present,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,wall_roughness_boundary,Use to document wall/roughness follow-up controls as default-off traceability fields.,Restore wall/roughness manifest fields and default-promotion blockers.
probe_protocol_risk_fields_present,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,probe_protocol_risk,Use to trace near-wall probe-position risks without redefining official z=2 m validation.,Restore probe_protocol_risk manifest fields.
paper_forbidden_claims_present,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,paper_claim_boundary,Use to show generated manifests carry paper-use limits and forbidden claim classes.,Restore paper readiness and forbidden-claim fields.
default_policy_gate_passed,True,newly_run,docs/experiments/casee/results/casee_default_policy_gate.json,upstream_gate,Use to show source defaults remain claim-safe before interpreting manifest schema.,Run casee_default_policy_gate.py and fix failed default-policy checks.
manifest_output_gate_passed,True,newly_run,docs/experiments/casee/results/citylbm_manifest_output_gate.json,upstream_gate,Use to show the UI and manifest output contract is already passing.,Run citylbm_manifest_output_gate.py and fix failed output checks.
formal_release_still_blocked_by_metrics,True,newly_run,docs/experiments/casee/results/release_gate.json,release_boundary,Use to prove this schema gate cannot be cited as formal accuracy success.,Do not publish a formal tag until release_gate.json passes official z=2 m metrics.
